volume,zero_nmse,zero_ssim,zero_psnr,recon_val_loss,recon_nmse,recon_ssim,recon_psnr,nmse_absolute_reduction,nmse_relative_reduction_percent,ssim_absolute_improvement,psnr_improvement_db
file1000000,0.08028598554917311,0.47586,26.09289027078313,4.759186e-06,0.04015997715357407,0.58249843,29.101360319823,0.040126008395599044,49.97884515102937,0.10663843,3.0084700490398717
file1000007,0.17342277340001616,0.2837166,22.58079983192704,8.799882e-06,0.11769744402903948,0.33053374,24.26420577579438,0.055725329370976684,32.13264802451342,0.046817154,1.6834059438673386
file1000017,0.1302768784088346,0.43221474,26.150925373037115,5.84392e-06,0.08631151121631214,0.508251,27.938921943121425,0.04396536719252245,33.74763636456689,0.076036274,1.7879965700843101
file1000026,0.13400606686305494,0.32882643,23.67204450564781,5.70435e-06,0.09004150927438982,0.39604253,25.398867670217005,0.04396455758866512,32.80788595459182,0.0672161,1.7268231645691934
file1000031,0.08819906515945687,0.53919744,26.554551580405246,8.676211e-06,0.037988954297117614,0.67414236,30.2126153666173,0.05021011086233926,56.92816672326786,0.13494492,3.658063786212054
file1000033,0.04709656588504521,0.65806,25.98610526533573,8.215424e-06,0.007881067042302039,0.827961,33.75014973644084,0.03921549884274317,83.26615349930523,0.16990101,7.764044471105109
file1000041,0.08493777919113052,0.60768837,24.01946424071374,9.798282e-06,0.014322049364409182,0.80038124,31.750424379941187,0.07061572982672133,83.13818715205502,0.19269288,7.730960139227445
file1000052,0.049694605370474904,0.7458926,30.76541245203551,7.967648e-06,0.012494404513467108,0.8641274,36.76136394137973,0.037200200857007794,74.85762404123966,0.11823481,5.995951489344218
file1000071,0.07044501345478546,0.60918266,27.8706597981655,9.543567e-06,0.029237275164544267,0.73815316,31.689792150744548,0.04120773829024119,58.4963168708741,0.1289705,3.8191323525790466
file1000073,0.07269922689621179,0.45395717,24.33579883597361,7.5711955e-06,0.02617981418107997,0.6034581,28.77143507187894,0.046519412715131825,63.98886852200605,0.14950094,4.435636235905331
file1000107,0.060802191775046324,0.5273116,25.397200586226553,8.076082e-06,0.01864585207135045,0.68012595,30.530571658197605,0.04215633970369587,69.3335856372815,0.15281433,5.133371071971052
file1000108,0.058870813972888986,0.773133,29.371156156167846,8.468845e-06,0.0064819679521361945,0.9304277,38.953088059615496,0.05238884602075279,88.9895051304688,0.15729469,9.58193190344765
file1000114,0.1419073763917396,0.358671,24.960675051195942,5.787893e-06,0.09448237936898032,0.43159425,26.727225208310642,0.04742499702275926,33.41968418318237,0.07292324,1.7665501571147004
file1000126,0.08376560543785928,0.49621356,25.257716944092298,7.206197e-06,0.031140530633034517,0.6348738,29.55511272383257,0.05262507480482477,62.824203955481686,0.13866025,4.29739577974027
file1000153,0.09188482982765504,0.45577392,24.15143307337029,8.0414175e-06,0.03205284477428086,0.6112578,28.725210623170412,0.059831985053374184,65.11628216061216,0.15548387,4.573777549800123
file1000178,0.11167171375387595,0.3897222,24.874677414655174,5.509757e-06,0.0735631803729492,0.46487105,26.687505254919937,0.03810853338092675,34.125502421246814,0.07514885,1.812827840264763
file1000182,0.09792281317485532,0.62767816,25.871801479679025,8.822503e-06,0.02207240360891916,0.8103852,32.342134809651405,0.07585040956593617,77.45938572097015,0.18270707,6.47033332997238
file1000190,0.04148784531788799,0.71620023,28.096387790041234,9.973676e-06,0.009402118005215166,0.8559784,34.54334232341073,0.032085727312672827,77.33765652765456,0.1397782,6.446954533369492
file1000196,0.05993861519970929,0.51959884,27.008941282602137,5.1016045e-06,0.03398066291176416,0.5979313,29.47369030780046,0.025957952287945132,43.30756091287046,0.078332484,2.464749025198323
file1000201,0.13750022182664368,0.40440607,25.69385667900594,6.0048806e-06,0.0932605132305589,0.47514018,27.37991922619117,0.04423970859608478,32.17428161814963,0.07073411,1.6860625471852302
file1000206,0.111666546299348,0.52702725,27.574227728309786,6.4895407e-06,0.06394042931737444,0.62870055,29.995704732023675,0.04772611698197356,42.73985232249654,0.101673305,2.421477003713889
file1000229,0.10330358750730187,0.52740574,27.096837817951762,7.605357e-06,0.06292821645993579,0.62141085,29.249543767715895,0.040375371047366077,39.08419060907464,0.09400511,2.152705949764133
file1000243,0.1046584504603494,0.6000748,26.94242159745137,8.809812e-06,0.031402838993487545,0.7509921,32.17048031629017,0.07325561146686185,69.99493222443157,0.15091729,5.2280587188387955
file1000247,0.1446599358799176,0.31517884,23.654310577005077,5.9233566e-06,0.09232817181007219,0.39090812,25.604459035759266,0.05233176406984541,36.175713580632355,0.07572928,1.9501484587541889
file1000254,0.14404285511553538,0.28494966,23.19660916841532,5.6905124e-06,0.09736204891395057,0.35628814,24.89762949000047,0.04668080620158481,32.407581871480254,0.071338475,1.7010203215851476
file1000263,0.08913352143446446,0.5122575,25.974759406752682,1.180853e-05,0.037743665704100766,0.6305395,29.706729816985046,0.05138985573036369,57.65491467556137,0.11828196,3.731970410232364
file1000264,0.06445247485609336,0.54471534,25.526595249199488,9.159296e-06,0.027086774894716763,0.65658796,29.291416558915913,0.03736569996137659,57.974034425838695,0.11187261,3.7648213097164245
file1000267,0.1307806812024668,0.46936694,27.076951692803984,7.718496e-06,0.0861205541251348,0.5460043,28.891322457034935,0.04466012707733201,34.14887173449715,0.07663736,1.8143707642309508
file1000273,0.07109197226039456,0.4560943,26.396359050109282,4.4942185e-06,0.039592761938615106,0.56268096,28.938411696450874,0.03149921032177945,44.30768949045982,0.106586665,2.542052646341592
file1000277,0.05829303713501483,0.6766331,26.903411585887387,1.0996976e-05,0.014040917384515504,0.82907695,33.08561776460418,0.04425211975049933,75.91321695592087,0.15244383,6.182206178716793
file1000280,0.07679114038894984,0.5182053,27.633417583756188,4.6970817e-06,0.03990373095592311,0.6455609,30.476402708207523,0.03688740943302673,48.03602244502516,0.12735564,2.842985124451335
file1000283,0.08409422782803057,0.56403905,26.213398908424907,1.2494965e-05,0.027073632121637013,0.70215183,31.135600043334755,0.057020595706393555,67.80559995508665,0.13811278,4.922201134909848
file1000291,0.09810494581513421,0.471412,25.627444479455242,4.740234e-06,0.04473478718855399,0.59002596,29.0379102675257,0.05337015862658022,54.40108873527052,0.11861396,3.410465788070457
file1000292,0.1573293074336324,0.363359,24.90516745677397,5.705193e-06,0.10072895547779785,0.44323507,26.841722804377333,0.05660035195583456,35.975720531097345,0.079876065,1.9365553476033632
file1000308,0.08650508454026935,0.45944718,24.60558570483524,7.64199e-06,0.03597354108226118,0.58796954,28.416170773184064,0.05053154345800817,58.4145356617564,0.12852237,3.810585068348825
file1000314,0.05668821030966598,0.69106686,29.44079642746562,8.912004e-06,0.018309677448208224,0.81442785,34.34891069224525,0.03837853286145776,67.70108396756667,0.12336099,4.908114264779627
file1000323,0.05645851018173656,0.6578688,27.990569217970823,8.758896e-06,0.014967483821305212,0.7910031,33.75638085130655,0.04149102636043135,73.48941058996105,0.1331343,5.76581163333573
file1000325,0.13027827754525206,0.5175881,28.282849302905507,5.7166067e-06,0.08257631235776904,0.6074895,30.263020591323397,0.04770196518748303,36.61544049115463,0.08990145,1.980171288417889
file1000328,0.062472021651262276,0.5868009,26.32649024812394,8.127061e-06,0.016798479365511314,0.73602533,32.03064694637461,0.04567354228575096,73.11039578759672,0.14922446,5.704156698250671
file1000344,0.1316039196932777,0.45231348,27.26700682218076,5.5189425e-06,0.08640870809645561,0.53733814,29.094117818217015,0.04519521159682209,34.34184308655561,0.085024655,1.8271109960362537
file1000350,0.04479942918895537,0.60843444,25.85746722821128,8.149585e-06,0.010627478381852873,0.7506139,32.10588693350986,0.034171950807102495,76.27764778647466,0.14217949,6.248419705298577
file1000356,0.06449081748775545,0.6457927,28.913240116537445,8.752976e-06,0.02685614922510675,0.75859135,32.71778486367127,0.037634668262648704,58.35663080219786,0.11279863,3.804544747133825
file1000389,0.058794091391638395,0.708649,27.59624381385185,1.3209403e-05,0.015016173562754354,0.84400976,33.523986102187294,0.043777917828884044,74.45972340531837,0.13536078,5.927742288335445
file1000432,0.10078824946460224,0.55011255,26.035363608230444,8.713953e-06,0.03453976376084169,0.69835097,30.686275276260943,0.06624848570376055,65.73036644219881,0.14823842,4.650911668030499
file1000464,0.04676442473318786,0.60773957,24.636987081650354,1.3332971e-05,0.012396161369779285,0.747642,30.403267464313835,0.03436826336340857,73.49232575722895,0.13990241,5.766280382663481
file1000476,0.08086468988168027,0.4595158,26.320171818040965,5.0386234e-06,0.05176166691189829,0.54900897,28.257684482875433,0.029103022969781983,35.98977874318815,0.089493155,1.9375126648344683
file1000477,0.07236729067375193,0.66169703,26.956681451460717,7.843216e-06,0.014053363021282683,0.84731895,34.074300864739755,0.05831392765246925,80.58050413323001,0.18562192,7.117619413279037
file1000480,0.13230854222829874,0.32456714,23.716386319457623,5.1684287e-06,0.09061462228663979,0.38322437,25.36028808400889,0.041693919941658955,31.51264403602602,0.05865723,1.6439017645512664
file1000496,0.07432870333800524,0.58205736,26.447584078098476,8.353343e-06,0.022100765012919407,0.73423195,31.71507957420296,0.052227938325085835,70.26617710197696,0.15217459,5.267495496104484
file1000528,0.08590272396264814,0.5391536,28.055265717813246,5.178923e-06,0.04838997597659223,0.64926225,30.54778357165376,0.03751274798605591,43.66886898996014,0.11010867,2.492517853840514
file1000537,0.06884753845483488,0.55403405,25.357113785547938,8.475202e-06,0.02146792117896843,0.6941538,30.418103287390252,0.04737961727586645,68.81817177377846,0.14011973,5.0609895018423146
file1000538,0.07692923710423415,0.5075305,27.725545384373035,4.9369187e-06,0.04854752159735123,0.60676956,29.724793106607983,0.02838171550688292,36.89327565854777,0.09923905,1.9992477222349478
file1000552,0.07998248949855095,0.6002487,28.302374036560547,7.9061865e-06,0.03146152908148136,0.740348,32.35452510534554,0.048520960417069596,60.664478839394775,0.14009929,4.05215106878499
file1000555,0.15480996044466794,0.44826433,26.861290348352725,5.753876e-06,0.10231177165594932,0.52812856,28.66002919555403,0.05249818878871862,33.91137665685438,0.079864234,1.7987388472013066
file1000591,0.0824338260432288,0.5524507,27.827408684970067,4.8706697e-06,0.04459057490642834,0.65546453,30.496037849349307,0.037843251136800454,45.9074301815801,0.10301381,2.66862916437924
file1000593,0.06170304733681999,0.5394218,27.21992018267807,4.8136276e-06,0.033852789580293745,0.6383951,29.827046483207425,0.027850257756526248,45.13595188337999,0.098973274,2.6071263005293552
file1000625,0.09371486944389046,0.46578223,25.91976601966181,1.2336083e-05,0.0486018068792038,0.5968503,28.771328640914163,0.04511306256468666,48.138638865305175,0.13106805,2.851562621252352
file1000628,0.08184672493389883,0.58895326,27.468425219704677,7.782718e-06,0.026663395698539955,0.73656976,32.33928413790715,0.055183329235358874,67.42277015961984,0.1476165,4.870858918202472
file1000631,0.1394441556282131,0.39115697,25.662637755323022,6.283159e-06,0.0879561841270012,0.48339874,27.663978469472127,0.05148797150121191,36.92372137738742,0.092241764,2.001340714149105
file1000635,0.05777351056666841,0.74386555,29.2763442508275,8.5992215e-06,0.012312295634798227,0.8847485,35.990236644483986,0.04546121493187018,78.68868359558951,0.14088297,6.7138923936564865
file1000647,0.14086012950185606,0.3221268,23.617632464658733,5.961958e-06,0.0913904969485256,0.39812395,25.49651214760602,0.04946963255333045,35.11968413508991,0.075997144,1.8788796829472858
file1000660,0.0831720047599023,0.6533803,26.652151324930106,9.1456e-06,0.0189430727531202,0.82493955,33.07741827339446,0.0642289320067821,77.22422008727057,0.17155927,6.425266948464351
file1000697,0.05866700495856765,0.74209267,28.67887494071986,9.0231815e-06,0.009879231987146374,0.8903183,36.41557915829617,0.04878777297142128,83.16049712419549,0.1482256,7.736704217576307
file1000702,0.05813457139033835,0.65523994,26.1606200160806,1.0336243e-05,0.012222443472957624,0.813944,32.933392654314744,0.045912127917380724,78.9756023298231,0.15870404,6.772772638234144
file1000735,0.07430459523437835,0.73827505,29.282309025219018,8.91131e-06,0.01819183546836466,0.87475014,35.39370167905759,0.056112759766013695,75.51721342269303,0.13647509,6.111392653838575
file1000748,0.09996144046416724,0.5019428,27.5082308949042,5.1783973e-06,0.06242935595727631,0.58128136,29.55266516662162,0.03753208450689093,37.546562287029964,0.07933855,2.0444342717174173
file1000758,0.10565533937862967,0.40824205,22.961241121218762,8.189065e-06,0.038679114765465275,0.55860126,27.325390220525062,0.0669762246131644,63.391235130243984,0.15035921,4.3641490993062995
file1000759,0.08385482533148551,0.59440964,25.32799907922562,1.0683452e-05,0.027121361910319487,0.7676267,30.230156496119065,0.05673346342116603,67.65676655683636,0.17321706,4.902157416893445
file1000769,0.07689207418780372,0.6205679,25.346773511916663,9.4585075e-06,0.016485191237120642,0.80550706,32.03465025603335,0.06040688295068308,78.56061055544338,0.18493915,6.687876744116689
file1000810,0.1462849200912005,0.35378817,23.82807655451331,5.7215093e-06,0.09870888632474568,0.40606362,25.536520347996536,0.04757603376645482,32.522855901205546,0.05227545,1.7084437934832266
file1000817,0.06089517123542625,0.62004614,26.73766988065939,7.896309e-06,0.01643149375370194,0.7578541,32.4267274248156,0.04446367748172431,73.01675416893681,0.13780797,5.6890575441562135
file1000818,0.08107945338986827,0.38874492,25.683397349259415,4.332728e-06,0.04906734080265285,0.49341303,27.86458628784722,0.032012112587215424,39.482398127779774,0.10466811,2.1811889385878054
file1000831,0.06239361225929971,0.61901146,25.199550234427562,9.719639e-06,0.013698924571845184,0.7999563,31.784085430644843,0.048694687687454524,78.04434768912843,0.18094486,6.584535196217281
file1000842,0.12081154392202186,0.495501,25.3844812017862,7.818815e-06,0.039075647310572,0.6565367,30.286515393839387,0.08173589661144987,67.65570073684889,0.16103569,4.902034192053186
file1000858,0.09658119133062941,0.5312069,29.212499421824283,7.0344827e-06,0.05785834056453727,0.66234744,31.437763742715,0.03872285076609214,40.09357332685097,0.13114053,2.225264320890716
file1000871,0.07832393613773794,0.50657135,25.915888380340007,7.4861696e-06,0.02820725605105747,0.65916765,30.351221842975878,0.05011668008668047,63.986416615409745,0.1525963,4.435333462635871
file1000885,0.07871100771641171,0.49589294,24.77215866218414,7.338228e-06,0.02424296264099075,0.64954096,29.886658646610922,0.054468045075420954,69.20003523733827,0.15364802,5.114499984426782
file1000891,0.09240838272230344,0.47629863,25.45448615334209,8.081628e-06,0.03990496840081561,0.6159314,29.10132528026373,0.05250341432148783,56.81672243877043,0.13963276,3.646839126921641
file1000899,0.05626035296031174,0.5803247,28.234148630045738,4.843919e-06,0.032957646637401666,0.6625837,30.5566081759476,0.023302706322910073,41.41941011167974,0.082259,2.322459545901861
file1000903,0.18819318504303756,0.33447757,22.621168809949136,1.0106519e-05,0.13829628211751166,0.37303597,23.95910423832399,0.0498969029255259,26.513660903350495,0.038558394,1.3379354283748555
file1000925,0.08023879557394861,0.6448889,28.715236558965213,8.221398e-06,0.02426903577054815,0.79422534,33.90855454566339,0.055969759803400465,69.75398795937603,0.14933646,5.19331798669818
file1000926,0.07730146399500637,0.7679741,29.91300459949486,8.6668615e-06,0.014043636072430822,0.9077246,37.32007754762754,0.06325782792257555,81.83263893509438,0.13975054,7.407072948132679
file1000932,0.12241863979426675,0.35423225,24.076402338828487,5.3419767e-06,0.08492165360408664,0.41119424,25.66469374523453,0.037496986190180104,30.630128102384134,0.056961983,1.588291406406043
file1000942,0.08451413228446666,0.4553631,26.656668887308115,6.7694923e-06,0.05058417406671265,0.56219846,28.885814068003057,0.03392995821775401,40.147082269683544,0.106835365,2.2291451806949425
file1000972,0.07657238441553446,0.4548472,25.945693634903677,5.1062298e-06,0.04664347597553654,0.54446685,28.098513019386047,0.029928908439997924,39.0857731131671,0.08961967,2.1528193844823704
file1000976,0.06885981157200528,0.781427,30.763585747801507,1.0802483e-05,0.015799089140441307,0.905764,37.156926758545964,0.05306072243156398,77.05615397462927,0.12433696,6.393341010744457
file1000990,0.07940820363734834,0.6113658,29.01453638951085,5.755506e-06,0.0435597876286264,0.7182327,31.62233763895635,0.03584841600872194,45.14447420626605,0.106866896,2.6078012494454974
file1001031,0.15051530960962856,0.34738642,24.542455940265214,5.740096e-06,0.1003274620312033,0.4155616,26.304071931950332,0.05018784757842526,33.344015109553155,0.06817517,1.7616159916851188
file1001057,0.08715159133542266,0.6727613,26.89659963521173,8.688325e-06,0.016317586782392774,0.84942687,34.17279125334111,0.07083400455302989,81.27677701306585,0.17666554,7.276191618129381
file1001059,0.15652670415570324,0.31258735,23.27135852549501,5.6170247e-06,0.10220860740105474,0.38499117,25.12236499607388,0.05431809675464851,34.70212769612536,0.07240382,1.85100647057887
